killID,killmail_id,killmail_time,solar_system_id,zkb.locationID,zkb.hash,zkb.fittedValue,zkb.totalValue,zkb.points,zkb.npc,zkb.solo,zkb.awox,zkb.href,victim.alliance_id,victim.character_id,victim.corporation_id,victim.damage_taken,victim.position.x,victim.position.y,victim.position.z,victim.ship_type_id,attacker.alliance_id,attacker.character_id,attacker.corporation_id,attacker.damage_done,attacker.final_blow,attacker.security_status,attacker.ship_type_id,attacker.weapon_type_id,attacker.faction_id,victim.faction_id,war_id,moon_id
85934657,85934657,2020-07-27T07:00:47Z,30003611,50008267,6700572a01ab30ec0b7dfaf7f2243e1f901459ff,19544342.76,19544342.76,1,False,False,False,https://esi.evetech.net/v1/killmails/85934657/6700572a01ab30ec0b7dfaf7f2243e1f901459ff/,99003581.0,2116186210.0,98524084,424,-306381000000.0,58703841488.0,-87063295283.0,670,99009865.0,96218798.0,98228242.0,424,True,1.5,16229.0,3146.0,,,,
85934746,85934746,2020-07-27T07:10:54Z,30004026,50011235,183ed26df49bc69ffdb53fdca7335cbcd8a204c9,10000.0,10000.0,1,False,False,False,https://esi.evetech.net/v1/killmails/85934746/183ed26df49bc69ffdb53fdca7335cbcd8a204c9/,99003214.0,1372680408.0,98536399,461,-6705530000000.0,-979878000000.0,-4918350000000.0,33328,1354830081.0,1299455473.0,211551078.0,461,True,5.0,34317.0,3033.0,,,,
85934740,85934740,2020-07-27T07:09:56Z,30004026,50011235,7afb230b68a72f13658015651e40e4f2b107a9cb,30775787.54,50136558.37,5,False,False,False,https://esi.evetech.net/v1/killmails/85934740/7afb230b68a72f13658015651e40e4f2b107a9cb/,99003214.0,1372680408.0,98536399,1444,-6705530000000.0,-979878000000.0,-4918350000000.0,12034,1354830081.0,1299455473.0,211551078.0,1444,True,5.0,34317.0,3033.0,,,,
85934671,85934671,2020-07-27T07:01:43Z,30002056,40131203,2a276a5162ddfd37a4b97da6ff7c2a4228a0937a,5006397.51,8654443.82,23,False,True,False,https://esi.evetech.net/v1/killmails/85934671/2a276a5162ddfd37a4b97da6ff7c2a4228a0937a/,,2115170930.0,98628652,4077,12372600000000.0,2032000000000.0,-5625340000000.0,32874,99005678.0,2117123884.0,98224639.0,4077,True,-1.0,16236.0,3041.0,500003.0,,,
85934664,85934664,2020-07-27T07:01:13Z,32000194,0,36d57a0b62fc8888a5889cc90b2f97bcb5298607,17800508.59,37438958.27,15,False,False,False,https://esi.evetech.net/v1/killmails/85934664/36d57a0b62fc8888a5889cc90b2f97bcb5298607/,99008701.0,2115544262.0,98367024,15359,-14959500000000.0,-14959800000000.0,-14959800000000.0,622,99001968.0,92259565.0,389326446.0,6805,True,-10.0,621.0,24486.0,,,,
85934727,85934727,2020-07-27T07:08:10Z,30002074,40132393,81a7aa94ef77711baa2feaa35a36bbc8cfa03dd5,6579966.67,6579966.67,1,False,False,False,https://esi.evetech.net/v1/killmails/85934727/81a7aa94ef77711baa2feaa35a36bbc8cfa03dd5/,99009480.0,95249284.0,98628281,49923,-259644448527.5786,119974116002.41173,26577456973.719173,33475,,93087770.0,1000046.0,49923,True,0.0,34828.0,2817.0,,,,
85934663,85934663,2020-07-27T07:01:06Z,30004838,50008888,018caf6127024c2cc6668ad6168605a54a062ac9,802380.06,802380.06,1,False,False,False,https://esi.evetech.net/v1/killmails/85934663/018caf6127024c2cc6668ad6168605a54a062ac9/,,2113200929.0,1000072,440,1750920466868.0327,-864225653659.5884,395246957318.7784,670,99007203.0,2114421119.0,355443127.0,440,True,1.1,11963.0,2488.0,,,,
85934672,85934672,2020-07-27T07:01:47Z,32000194,0,ec49966d3ddd877eb1c39e45d6e05e024ba11c5c,18900826.11,31684536.41,15,False,False,False,https://esi.evetech.net/v1/killmails/85934672/ec49966d3ddd877eb1c39e45d6e05e024ba11c5c/,99008701.0,90489394.0,98367024,16356,-14959513431574.012,-14959788688675.426,-14959788687684.266,626,99001968.0,92259565.0,389326446.0,8296,True,-10.0,621.0,24490.0,,,,
85934720,85934720,2020-07-27T07:07:19Z,32000025,0,99b54d66942cbfcfcd6149fcdac04109c12c5d14,17370752.76,55628009.41,22,False,False,False,https://esi.evetech.net/v1/killmails/85934720/99b54d66942cbfcfcd6149fcdac04109c12c5d14/,99001968.0,92259565.0,389326446,14052,-14959670693861.705,-14959788684646.27,-14959788715721.89,621,99009865.0,1834143203.0,98228242.0,4114,True,5.0,624.0,3512.0,,,,
85934725,85934725,2020-07-27T07:07:59Z,32000025,0,1be0c82299c2b3816fcc68ffdd66eb36dcc403ba,17370752.76,55626499.05,22,False,False,False,https://esi.evetech.net/v1/killmails/85934725/1be0c82299c2b3816fcc68ffdd66eb36dcc403ba/,99009203.0,1088938368.0,1448136910,13717,-14959670697881.492,-14959788686055.12,-14959788717862.436,621,99009865.0,91489099.0,98228242.0,7262,True,0.0,624.0,3025.0,,,,
